Created as New Dataset,Sample 842 By YargerLab Date Saturday, April 18 2026
cm-1,A
4000.00,0.0148
3999.00,0.0148
3998.00,0.0148
3997.00,0.0148
3996.00,0.0148
3995.00,0.0148
3994.00,0.0148
3993.00,0.0148
3992.00,0.0148
3991.00,0.0148
3990.00,0.0148
3989.00,0.0148
3988.00,0.0148
3987.00,0.0147
3986.00,0.0147
3985.00,0.0147
3984.00,0.0147
3983.00,0.0147
3982.00,0.0147
3981.00,0.0147
3980.00,0.0147
3979.00,0.0147
3978.00,0.0147
3977.00,0.0146
3976.00,0.0146
3975.00,0.0146
3974.00,0.0146
3973.00,0.0147
3972.00,0.0147
3971.00,0.0147
3970.00,0.0147
3969.00,0.0147
3968.00,0.0146
3967.00,0.0146
3966.00,0.0146
3965.00,0.0146
3964.00,0.0146
3963.00,0.0146
3962.00,0.0146
3961.00,0.0146
3960.00,0.0145
3959.00,0.0145
3958.00,0.0145
3957.00,0.0145
3956.00,0.0145
3955.00,0.0145
3954.00,0.0145
3953.00,0.0145
3952.00,0.0145
3951.00,0.0145
3950.00,0.0145
3949.00,0.0145
3948.00,0.0145
3947.00,0.0145
3946.00,0.0145
3945.00,0.0145
3944.00,0.0145
3943.00,0.0145
3942.00,0.0145
3941.00,0.0145
3940.00,0.0145
3939.00,0.0145
3938.00,0.0145
3937.00,0.0145
3936.00,0.0145
3935.00,0.0145
3934.00,0.0145
3933.00,0.0145
3932.00,0.0145
3931.00,0.0144
3930.00,0.0144
3929.00,0.0144
3928.00,0.0145
3927.00,0.0145
3926.00,0.0145
3925.00,0.0145
3924.00,0.0145
3923.00,0.0144
3922.00,0.0144
3921.00,0.0144
3920.00,0.0144
3919.00,0.0144
3918.00,0.0144
3917.00,0.0144
3916.00,0.0144
3915.00,0.0143
3914.00,0.0144
3913.00,0.0144
3912.00,0.0144
3911.00,0.0144
3910.00,0.0144
3909.00,0.0144
3908.00,0.0144
3907.00,0.0144
3906.00,0.0143
3905.00,0.0143
3904.00,0.0143
3903.00,0.0143
3902.00,0.0143
3901.00,0.0143
3900.00,0.0142
3899.00,0.0142
3898.00,0.0142
3897.00,0.0142
3896.00,0.0142
3895.00,0.0142
3894.00,0.0142
3893.00,0.0142
3892.00,0.0142
3891.00,0.0142
3890.00,0.0142
3889.00,0.0142
3888.00,0.0142
3887.00,0.0142
3886.00,0.0142
3885.00,0.0142
3884.00,0.0142
3883.00,0.0141
3882.00,0.0141
3881.00,0.0142
3880.00,0.0142
3879.00,0.0142
3878.00,0.0142
3877.00,0.0142
3876.00,0.0142
3875.00,0.0142
3874.00,0.0142
3873.00,0.0141
3872.00,0.0141
3871.00,0.0141
3870.00,0.0141
3869.00,0.0140
3868.00,0.0140
3867.00,0.0140
3866.00,0.0140
3865.00,0.0140
3864.00,0.0140
3863.00,0.0140
3862.00,0.0140
3861.00,0.0140
3860.00,0.0140
3859.00,0.0140
3858.00,0.0139
3857.00,0.0138
3856.00,0.0138
3855.00,0.0137
3854.00,0.0137
3853.00,0.0138
3852.00,0.0138
3851.00,0.0138
3850.00,0.0138
3849.00,0.0138
3848.00,0.0139
3847.00,0.0139
3846.00,0.0139
3845.00,0.0139
3844.00,0.0139
3843.00,0.0139
3842.00,0.0139
3841.00,0.0139
3840.00,0.0138
3839.00,0.0138
3838.00,0.0138
3837.00,0.0138
3836.00,0.0138
3835.00,0.0138
3834.00,0.0138
3833.00,0.0138
3832.00,0.0138
3831.00,0.0138
3830.00,0.0138
3829.00,0.0138
3828.00,0.0138
3827.00,0.0138
3826.00,0.0138
3825.00,0.0137
3824.00,0.0137
3823.00,0.0137
3822.00,0.0137
3821.00,0.0137
3820.00,0.0137
3819.00,0.0137
3818.00,0.0137
3817.00,0.0137
3816.00,0.0137
3815.00,0.0137
3814.00,0.0137
3813.00,0.0137
3812.00,0.0137
3811.00,0.0137
3810.00,0.0137
3809.00,0.0137
3808.00,0.0137
3807.00,0.0136
3806.00,0.0136
3805.00,0.0136
3804.00,0.0136
3803.00,0.0136
3802.00,0.0136
3801.00,0.0137
3800.00,0.0137
3799.00,0.0137
3798.00,0.0137
3797.00,0.0137
3796.00,0.0137
3795.00,0.0137
3794.00,0.0137
3793.00,0.0136
3792.00,0.0136
3791.00,0.0136
3790.00,0.0137
3789.00,0.0137
3788.00,0.0137
3787.00,0.0137
3786.00,0.0137
3785.00,0.0137
3784.00,0.0136
3783.00,0.0136
3782.00,0.0136
3781.00,0.0136
3780.00,0.0136
3779.00,0.0136
3778.00,0.0136
3777.00,0.0135
3776.00,0.0135
3775.00,0.0135
3774.00,0.0135
3773.00,0.0135
3772.00,0.0134
3771.00,0.0134
3770.00,0.0134
3769.00,0.0134
3768.00,0.0134
3767.00,0.0133
3766.00,0.0133
3765.00,0.0133
3764.00,0.0133
3763.00,0.0133
3762.00,0.0133
3761.00,0.0133
3760.00,0.0134
3759.00,0.0134
3758.00,0.0133
3757.00,0.0133
3756.00,0.0132
3755.00,0.0132
3754.00,0.0131
3753.00,0.0130
3752.00,0.0130
3751.00,0.0131
3750.00,0.0131
3749.00,0.0131
3748.00,0.0131
3747.00,0.0131
3746.00,0.0131
3745.00,0.0130
3744.00,0.0129
3743.00,0.0129
3742.00,0.0129
3741.00,0.0129
3740.00,0.0129
3739.00,0.0129
3738.00,0.0129
3737.00,0.0129
3736.00,0.0129
3735.00,0.0129
3734.00,0.0128
3733.00,0.0128
3732.00,0.0128
3731.00,0.0128
3730.00,0.0128
3729.00,0.0128
3728.00,0.0128
3727.00,0.0128
3726.00,0.0127
3725.00,0.0127
3724.00,0.0127
3723.00,0.0127
3722.00,0.0127
3721.00,0.0127
3720.00,0.0127
3719.00,0.0127
3718.00,0.0127
3717.00,0.0127
3716.00,0.0127
3715.00,0.0127
3714.00,0.0127
3713.00,0.0127
3712.00,0.0127
3711.00,0.0127
3710.00,0.0126
3709.00,0.0126
3708.00,0.0126
3707.00,0.0126
3706.00,0.0126
3705.00,0.0126
3704.00,0.0125
3703.00,0.0125
3702.00,0.0125
3701.00,0.0124
3700.00,0.0124
3699.00,0.0124
3698.00,0.0124
3697.00,0.0124
3696.00,0.0124
3695.00,0.0124
3694.00,0.0124
3693.00,0.0124
3692.00,0.0124
3691.00,0.0123
3690.00,0.0123
3689.00,0.0123
3688.00,0.0123
3687.00,0.0123
3686.00,0.0123
3685.00,0.0123
3684.00,0.0123
3683.00,0.0123
3682.00,0.0123
3681.00,0.0123
3680.00,0.0122
3679.00,0.0122
3678.00,0.0122
3677.00,0.0122
3676.00,0.0122
3675.00,0.0122
3674.00,0.0122
3673.00,0.0122
3672.00,0.0122
3671.00,0.0122
3670.00,0.0122
3669.00,0.0121
3668.00,0.0121
3667.00,0.0121
3666.00,0.0121
3665.00,0.0121
3664.00,0.0121
3663.00,0.0121
3662.00,0.0121
3661.00,0.0121
3660.00,0.0122
3659.00,0.0122
3658.00,0.0122
3657.00,0.0122
3656.00,0.0122
3655.00,0.0121
3654.00,0.0121
3653.00,0.0121
3652.00,0.0121
3651.00,0.0121
3650.00,0.0122
3649.00,0.0123
3648.00,0.0123
3647.00,0.0122
3646.00,0.0122
3645.00,0.0122
3644.00,0.0122
3643.00,0.0122
3642.00,0.0122
3641.00,0.0122
3640.00,0.0122
3639.00,0.0122
3638.00,0.0122
3637.00,0.0122
3636.00,0.0121
3635.00,0.0121
3634.00,0.0121
3633.00,0.0121
3632.00,0.0121
3631.00,0.0121
3630.00,0.0121
3629.00,0.0121
3628.00,0.0121
3627.00,0.0121
3626.00,0.0120
3625.00,0.0121
3624.00,0.0121
3623.00,0.0121
3622.00,0.0121
3621.00,0.0121
3620.00,0.0121
3619.00,0.0121
3618.00,0.0121
3617.00,0.0121
3616.00,0.0121
3615.00,0.0121
3614.00,0.0120
3613.00,0.0120
