Created as New Dataset,Sample 840 By YargerLab Date Saturday, April 18 2026
cm-1,A
4000.00,0.1144
3999.00,0.1147
3998.00,0.1150
3997.00,0.1153
3996.00,0.1158
3995.00,0.1164
3994.00,0.1172
3993.00,0.1181
3992.00,0.1191
3991.00,0.1200
3990.00,0.1207
3989.00,0.1212
3988.00,0.1214
3987.00,0.1214
3986.00,0.1211
3985.00,0.1206
3984.00,0.1199
3983.00,0.1193
3982.00,0.1187
3981.00,0.1182
3980.00,0.1178
3979.00,0.1174
3978.00,0.1172
3977.00,0.1169
3976.00,0.1166
3975.00,0.1163
3974.00,0.1159
3973.00,0.1156
3972.00,0.1152
3971.00,0.1150
3970.00,0.1148
3969.00,0.1147
3968.00,0.1146
3967.00,0.1146
3966.00,0.1146
3965.00,0.1146
3964.00,0.1146
3963.00,0.1148
3962.00,0.1150
3961.00,0.1153
3960.00,0.1157
3959.00,0.1161
3958.00,0.1164
3957.00,0.1165
3956.00,0.1164
3955.00,0.1162
3954.00,0.1159
3953.00,0.1156
3952.00,0.1154
3951.00,0.1153
3950.00,0.1151
3949.00,0.1150
3948.00,0.1149
3947.00,0.1147
3946.00,0.1147
3945.00,0.1147
3944.00,0.1148
3943.00,0.1150
3942.00,0.1151
3941.00,0.1153
3940.00,0.1153
3939.00,0.1153
3938.00,0.1151
3937.00,0.1148
3936.00,0.1145
3935.00,0.1142
3934.00,0.1140
3933.00,0.1139
3932.00,0.1137
3931.00,0.1135
3930.00,0.1132
3929.00,0.1130
3928.00,0.1128
3927.00,0.1126
3926.00,0.1125
3925.00,0.1124
3924.00,0.1122
3923.00,0.1120
3922.00,0.1118
3921.00,0.1118
3920.00,0.1117
3919.00,0.1117
3918.00,0.1118
3917.00,0.1118
3916.00,0.1117
3915.00,0.1117
3914.00,0.1118
3913.00,0.1118
3912.00,0.1119
3911.00,0.1120
3910.00,0.1120
3909.00,0.1120
3908.00,0.1119
3907.00,0.1119
3906.00,0.1119
3905.00,0.1120
3904.00,0.1120
3903.00,0.1122
3902.00,0.1124
3901.00,0.1128
3900.00,0.1131
3899.00,0.1133
3898.00,0.1133
3897.00,0.1133
3896.00,0.1133
3895.00,0.1133
3894.00,0.1134
3893.00,0.1135
3892.00,0.1135
3891.00,0.1134
3890.00,0.1131
3889.00,0.1128
3888.00,0.1127
3887.00,0.1128
3886.00,0.1127
3885.00,0.1126
3884.00,0.1124
3883.00,0.1126
3882.00,0.1129
3881.00,0.1131
3880.00,0.1131
3879.00,0.1128
3878.00,0.1125
3877.00,0.1124
3876.00,0.1124
3875.00,0.1123
3874.00,0.1120
3873.00,0.1117
3872.00,0.1116
3871.00,0.1117
