Frequency (Hz),FFT Magnitude (dB)
0.00,-120.000
0.24,-104.039
0.49,-104.219
0.73,-103.862
0.98,-103.941
1.22,-104.529
1.46,-103.334
1.71,-103.046
1.95,-102.647
2.20,-101.451
2.44,-101.917
2.69,-103.022
2.93,-102.197
3.17,-102.353
3.42,-100.263
3.66,-101.254
3.91,-101.869
4.15,-99.935
4.39,-101.313
4.64,-100.498
4.88,-99.876
5.13,-97.544
5.37,-95.599
5.62,-95.201
5.86,-95.690
6.10,-97.376
6.35,-95.608
6.59,-98.195
6.84,-98.637
7.08,-98.528
7.32,-97.278
7.57,-97.723
7.81,-96.712
8.06,-96.020
8.30,-95.291
8.54,-95.173
8.79,-92.938
9.03,-92.476
9.28,-93.919
9.52,-95.195
9.77,-90.534
10.01,-91.574
10.25,-90.412
10.50,-88.140
10.74,-87.066
10.99,-87.452
11.23,-92.058
11.47,-92.069
11.72,-90.902
11.96,-90.392
12.21,-93.034
12.45,-91.963
12.70,-92.323
12.94,-85.823
13.18,-87.836
13.43,-87.400
13.67,-86.812
13.92,-87.358
14.16,-89.847
14.40,-91.336
14.65,-89.618
14.89,-87.907
15.14,-83.931
15.38,-86.618
15.62,-86.260
15.87,-78.621
16.11,-86.938
16.36,-89.507
16.60,-90.013
16.85,-91.937
17.09,-93.576
17.33,-91.506
17.58,-91.408
17.82,-87.390
18.07,-90.499
18.31,-89.068
18.55,-88.492
18.80,-87.604
19.04,-89.455
19.29,-89.089
19.53,-88.996
19.78,-90.392
20.02,-87.766
20.26,-86.952
20.51,-87.021
20.75,-87.126
21.00,-88.100
21.24,-87.602
21.48,-88.010
21.73,-89.762
21.97,-91.429
22.22,-93.614
22.46,-93.299
22.71,-91.765
22.95,-90.090
23.19,-90.396
23.44,-91.702
23.68,-88.931
23.93,-89.143
24.17,-89.396
24.41,-87.200
24.66,-87.334
24.90,-84.706
25.15,-84.752
25.39,-84.686
25.63,-85.065
25.88,-87.317
26.12,-82.694
26.37,-82.532
26.61,-79.744
26.86,-84.148
27.10,-82.338
27.34,-82.102
27.59,-81.666
27.83,-81.354
28.08,-79.404
28.32,-77.692
28.56,-70.660
28.81,-67.145
29.05,-76.136
29.30,-76.164
29.54,-65.336
29.79,-70.273
30.03,-77.688
30.27,-79.184
30.52,-78.525
30.76,-80.990
31.01,-82.568
31.25,-79.838
31.49,-77.232
31.74,-68.580
31.98,-72.300
32.23,-79.155
32.47,-76.505
32.71,-81.572
32.96,-79.341
33.20,-78.992
33.45,-77.932
33.69,-77.654
33.94,-76.286
34.18,-75.946
34.42,-76.297
34.67,-66.020
34.91,-75.201
35.16,-73.510
35.40,-81.009
35.64,-78.217
35.89,-76.402
36.13,-77.837
36.38,-80.357
36.62,-78.782
36.87,-80.204
37.11,-82.159
37.35,-80.983
37.60,-83.646
37.84,-81.388
38.09,-84.358
38.33,-83.856
38.57,-86.640
38.82,-85.344
39.06,-82.986
39.31,-81.337
39.55,-80.744
39.79,-79.593
40.04,-82.300
40.28,-83.934
40.53,-82.232
40.77,-84.853
41.02,-84.302
41.26,-83.993
41.50,-79.143
41.75,-82.921
41.99,-82.108
42.24,-79.739
42.48,-78.791
42.72,-79.110
42.97,-77.726
43.21,-76.237
43.46,-78.091
43.70,-77.987
43.95,-80.311
44.19,-82.165
44.43,-83.281
44.68,-80.945
44.92,-81.791
45.17,-74.867
45.41,-81.641
45.65,-83.928
45.90,-82.460
46.14,-82.861
46.39,-84.895
46.63,-84.187
46.88,-86.540
47.12,-86.418
47.36,-82.267
47.61,-80.809
47.85,-81.176
48.10,-85.824
48.34,-82.856
48.58,-82.614
48.83,-82.207
49.07,-86.097
49.32,-81.952
49.56,-82.081
49.80,-83.723
50.05,-82.116
50.29,-81.931
50.54,-81.167
50.78,-81.755
51.03,-82.171
51.27,-83.610
51.51,-81.513
51.76,-83.235
52.00,-78.751
52.25,-80.736
52.49,-79.682
52.73,-82.467
52.98,-78.955
53.22,-80.848
53.47,-81.557
53.71,-83.690
53.96,-82.381
54.20,-79.776
54.44,-80.793
54.69,-81.671
54.93,-81.754
55.18,-83.223
55.42,-80.601
55.66,-81.420
55.91,-83.083
56.15,-83.135
56.40,-84.411
56.64,-82.648
56.88,-85.260
57.13,-85.266
57.37,-79.359
57.62,-80.229
57.86,-76.664
58.11,-77.796
58.35,-74.227
58.59,-74.339
58.84,-80.479
59.08,-76.023
59.33,-74.573
59.57,-80.729
59.81,-84.187
60.06,-85.236
60.30,-84.359
60.55,-85.836
60.79,-81.673
61.04,-84.202
61.28,-84.319
61.52,-85.050
61.77,-83.712
62.01,-82.026
62.26,-83.079
62.50,-84.189
62.74,-84.263
62.99,-84.674
63.23,-82.219
63.48,-79.371
63.72,-72.865
63.96,-84.027
64.21,-84.036
64.45,-81.550
64.70,-82.329
64.94,-83.285
65.19,-83.299
65.43,-82.607
65.67,-83.310
65.92,-83.389
66.16,-81.399
66.41,-83.169
66.65,-80.202
66.89,-81.311
67.14,-81.383
67.38,-81.296
67.63,-80.363
67.87,-78.685
68.12,-78.137
68.36,-79.133
68.60,-77.989
68.85,-76.852
69.09,-75.760
69.34,-79.592
69.58,-79.946
69.82,-82.868
70.07,-81.013
70.31,-80.382
70.56,-83.872
70.80,-81.659
71.04,-81.582
71.29,-82.745
71.53,-81.092
71.78,-81.421
72.02,-80.747
72.27,-83.686
72.51,-82.813
72.75,-81.285
73.00,-82.918
73.24,-82.540
73.49,-83.104
73.73,-82.936
73.97,-84.246
74.22,-84.090
74.46,-83.966
74.71,-81.471
74.95,-83.589
75.20,-83.134
75.44,-83.654
75.68,-82.475
75.93,-83.723
76.17,-81.527
76.42,-80.995
76.66,-83.156
76.90,-84.504
77.15,-84.337
77.39,-82.507
77.64,-83.233
77.88,-82.562
78.12,-83.361
78.37,-83.712
78.61,-79.947
78.86,-82.304
79.10,-81.678
79.35,-82.946
79.59,-80.076
79.83,-80.363
80.08,-81.339
80.32,-81.104
80.57,-80.338
80.81,-81.848
81.05,-83.679
81.30,-79.975
81.54,-83.027
81.79,-83.235
82.03,-83.380
82.28,-82.011
82.52,-80.984
82.76,-82.992
83.01,-81.887
83.25,-82.395
83.50,-82.647
83.74,-83.932
83.98,-85.018
84.23,-82.204
84.47,-82.292
84.72,-82.592
84.96,-85.196
85.21,-83.156
85.45,-82.348
85.69,-83.370
85.94,-80.767
86.18,-82.128
86.43,-82.635
86.67,-84.374
86.91,-86.504
87.16,-82.581
87.40,-85.997
87.65,-83.830
87.89,-83.126
88.13,-82.681
88.38,-83.157
88.62,-82.400
88.87,-71.975
89.11,-81.177
89.36,-84.293
89.60,-81.164
89.84,-83.241
90.09,-79.542
90.33,-80.551
90.58,-80.293
90.82,-83.895
91.06,-83.122
91.31,-82.096
91.55,-82.537
91.80,-84.136
92.04,-80.942
92.29,-81.960
92.53,-81.688
92.77,-79.980
93.02,-79.415
93.26,-79.558
