Frequency (Hz),FFT Magnitude (dB)
172.36,-70.122
172.85,-67.862
173.34,-68.969
173.83,-71.222
174.32,-74.305
174.80,-72.901
175.29,-73.496
175.78,-74.317
176.27,-73.248
176.76,-72.574
177.25,-72.944
177.73,-71.323
178.22,-71.357
178.71,-71.272
179.20,-71.043
179.69,-72.149
180.18,-71.737
180.66,-72.338
181.15,-73.619
181.64,-72.648
182.13,-74.435
182.62,-74.237
183.11,-72.555
183.59,-72.918
184.08,-73.873
184.57,-71.627
185.06,-70.340
185.55,-69.481
186.04,-69.225
186.52,-69.254
187.01,-69.089
187.50,-71.350
187.99,-70.094
188.48,-69.522
188.96,-72.114
189.45,-71.173
189.94,-70.087
190.43,-69.479
190.92,-71.456
191.41,-70.282
191.89,-72.194
192.38,-71.678
192.87,-73.633
193.36,-73.662
193.85,-74.895
194.34,-75.505
194.82,-75.964
195.31,-74.499
195.80,-74.694
196.29,-75.030
196.78,-74.759
197.27,-72.709
197.75,-73.677
198.24,-73.301
198.73,-72.882
199.22,-74.328
199.71,-68.382
200.20,-74.138
200.68,-74.596
201.17,-75.774
201.66,-76.064
202.15,-76.040
202.64,-77.715
203.12,-75.717
203.61,-74.818
204.10,-74.432
204.59,-73.366
205.08,-72.933
205.57,-71.185
206.05,-72.994
206.54,-72.279
207.03,-71.139
207.52,-63.359
208.01,-62.046
208.50,-70.655
208.98,-71.567
209.47,-72.526
209.96,-72.997
210.45,-72.307
210.94,-73.204
211.43,-73.781
211.91,-73.201
212.40,-71.103
212.89,-71.745
213.38,-69.974
213.87,-72.387
214.36,-74.053
214.84,-73.289
215.33,-72.745
215.82,-75.096
216.31,-75.331
216.80,-77.302
217.29,-76.595
217.77,-79.734
218.26,-78.008
218.75,-77.917
219.24,-76.946
219.73,-74.778
220.21,-75.938
220.70,-74.306
221.19,-73.290
221.68,-74.389
222.17,-75.653
222.66,-74.206
223.14,-73.871
223.63,-74.558
224.12,-74.654
224.61,-74.203
225.10,-74.558
225.59,-74.709
226.07,-71.997
226.56,-75.926
227.05,-75.985
227.54,-78.071
228.03,-78.867
228.52,-78.076
229.00,-77.693
229.49,-76.475
229.98,-75.265
230.47,-73.942
230.96,-74.446
231.45,-75.521
231.93,-74.129
232.42,-75.303
232.91,-75.646
233.40,-74.226
233.89,-75.461
234.38,-74.324
234.86,-75.550
235.35,-76.941
235.84,-75.921
236.33,-75.477
236.82,-73.529
237.30,-72.122
237.79,-71.734
238.28,-71.106
238.77,-67.219
239.26,-64.082
239.75,-58.997
240.23,-65.353
240.72,-70.939
241.21,-70.779
241.70,-71.657
242.19,-72.304
242.68,-70.526
243.16,-72.363
243.65,-75.313
244.14,-73.030
244.63,-75.345
245.12,-76.534
245.61,-77.828
246.09,-77.101
246.58,-78.631
247.07,-78.099
247.56,-75.675
248.05,-78.179
248.54,-76.165
249.02,-75.810
249.51,-75.441
250.00,-73.516
250.49,-73.702
250.98,-73.374
251.46,-72.780
251.95,-72.234
252.44,-72.296
252.93,-68.772
253.42,-74.849
253.91,-76.360
254.39,-75.310
254.88,-76.037
255.37,-77.458
255.86,-76.918
256.35,-78.758
256.84,-76.966
257.32,-77.451
257.81,-79.331
258.30,-77.382
258.79,-78.893
259.28,-78.165
259.77,-80.057
260.25,-78.555
260.74,-80.144
261.23,-77.982
261.72,-80.183
262.21,-81.035
