Frequency (Hz),FFT Magnitude (dB)
0.00,-120.000
0.49,-91.043
0.98,-90.930
1.46,-90.874
1.95,-90.758
2.44,-90.408
2.93,-89.871
3.42,-90.091
3.91,-89.674
4.39,-89.788
4.88,-88.733
5.37,-86.983
5.86,-86.679
6.35,-87.826
6.84,-89.416
7.32,-88.208
7.81,-87.983
8.30,-87.876
8.79,-85.658
9.28,-87.123
9.77,-84.847
10.25,-84.055
10.74,-81.628
11.23,-81.868
11.72,-83.990
12.21,-84.314
12.70,-83.015
13.18,-79.411
13.67,-81.614
14.16,-81.845
14.65,-80.032
15.14,-78.665
15.62,-78.426
16.11,-78.411
16.60,-84.177
17.09,-85.722
17.58,-83.743
18.07,-81.841
18.55,-79.670
19.04,-80.873
19.53,-81.205
20.02,-81.890
20.51,-78.911
21.00,-82.611
21.48,-82.219
21.97,-82.981
22.46,-83.329
22.95,-82.514
23.44,-81.516
23.93,-80.535
24.41,-78.154
24.90,-79.094
25.39,-78.719
25.88,-78.726
26.37,-74.483
26.86,-74.231
27.34,-75.030
27.83,-74.250
28.32,-72.033
28.81,-61.853
29.30,-67.131
29.79,-62.130
30.27,-71.550
30.76,-72.257
31.25,-74.022
31.74,-71.614
32.23,-74.782
32.71,-73.214
33.20,-71.870
33.69,-70.180
34.18,-70.519
34.67,-61.860
35.16,-69.229
35.64,-72.457
36.13,-71.879
36.62,-74.968
37.11,-74.457
37.60,-75.752
38.09,-76.678
38.57,-76.390
39.06,-77.715
39.55,-73.790
40.04,-77.592
40.53,-78.066
41.02,-76.471
41.50,-76.851
41.99,-75.605
42.48,-73.261
42.97,-73.503
43.46,-74.580
43.95,-74.180
44.43,-75.497
44.92,-71.389
45.41,-75.189
45.90,-77.210
46.39,-76.707
46.88,-77.234
47.36,-77.232
47.85,-73.404
48.34,-76.494
48.83,-77.555
49.32,-75.082
49.80,-74.444
50.29,-74.359
50.78,-73.190
51.27,-74.984
51.76,-74.317
52.25,-75.632
52.73,-74.935
53.22,-73.696
53.71,-75.477
54.20,-74.721
54.69,-74.411
55.18,-74.893
55.66,-75.067
56.15,-76.022
56.64,-75.745
57.13,-75.792
57.62,-71.243
58.11,-70.503
58.59,-68.491
59.08,-69.073
59.57,-72.060
60.06,-76.063
60.55,-76.672
61.04,-78.265
61.52,-78.487
62.01,-75.363
62.50,-76.886
62.99,-76.259
63.48,-68.590
63.96,-74.209
64.45,-76.128
64.94,-74.750
65.43,-74.142
65.92,-76.053
66.41,-74.427
66.89,-72.768
67.38,-73.707
67.87,-72.673
68.36,-72.236
68.85,-69.814
69.34,-70.477
69.82,-73.414
70.31,-72.494
70.80,-73.849
71.29,-73.822
71.78,-74.153
72.27,-73.589
72.75,-73.911
73.24,-76.277
73.73,-75.327
74.22,-74.392
74.71,-73.864
75.20,-74.602
75.68,-74.915
76.17,-75.699
76.66,-75.640
77.15,-77.574
77.64,-74.941
78.12,-76.323
78.61,-73.331
79.10,-75.777
79.59,-70.556
80.08,-72.517
80.57,-71.833
81.05,-73.022
81.54,-72.134
82.03,-72.499
82.52,-72.369
83.01,-75.127
83.50,-73.338
83.98,-72.971
84.47,-73.235
84.96,-73.545
85.45,-74.405
85.94,-73.537
86.43,-72.203
86.91,-72.500
87.40,-73.784
87.89,-72.453
88.38,-71.377
88.87,-65.111
89.36,-72.141
89.84,-71.067
90.33,-70.805
90.82,-71.878
91.31,-72.091
91.80,-70.384
92.29,-71.294
92.77,-70.748
93.26,-66.788
93.75,-67.379
94.24,-71.928
94.73,-70.698
95.21,-71.924
95.70,-72.282
96.19,-72.203
96.68,-72.424
97.17,-71.363
97.66,-71.304
98.14,-71.217
98.63,-71.265
99.12,-71.342
99.61,-70.137
100.10,-70.549
100.59,-71.572
101.07,-72.145
101.56,-69.416
102.05,-67.540
102.54,-67.844
103.03,-70.582
103.52,-70.153
104.00,-70.780
104.49,-69.322
104.98,-68.612
105.47,-71.019
105.96,-69.385
106.45,-66.745
106.93,-67.983
107.42,-68.620
107.91,-68.128
108.40,-68.271
108.89,-70.423
109.38,-69.043
109.86,-69.385
110.35,-67.417
110.84,-68.318
