Frequency (Hz),FFT Magnitude (dB)
0.00,-120.000
0.67,-95.784
1.35,-95.071
2.02,-93.935
2.69,-92.389
3.36,-92.810
4.04,-92.118
4.71,-91.195
5.38,-87.476
6.06,-88.456
6.73,-90.154
7.40,-90.530
8.07,-89.689
8.75,-86.406
9.42,-83.617
10.09,-82.155
10.77,-81.076
11.44,-81.180
12.11,-82.355
12.79,-80.626
13.46,-79.456
14.13,-80.101
14.80,-77.662
15.48,-78.949
16.15,-75.501
16.82,-81.201
17.50,-82.213
18.17,-82.681
18.84,-80.413
19.51,-81.113
20.19,-81.386
20.86,-80.409
21.53,-82.169
22.21,-82.826
22.88,-81.938
23.55,-81.616
24.22,-78.864
24.90,-77.911
25.57,-77.178
26.24,-75.218
26.92,-74.706
27.59,-73.227
28.26,-68.713
28.94,-63.650
29.61,-62.138
30.28,-73.261
30.95,-72.572
31.63,-71.934
32.30,-72.630
32.97,-72.734
33.65,-71.040
34.32,-69.338
34.99,-66.079
35.66,-71.223
36.34,-72.682
37.01,-75.494
37.68,-76.374
38.36,-74.919
39.03,-75.991
39.70,-71.854
40.37,-76.180
41.05,-75.335
41.72,-74.783
42.39,-73.771
43.07,-71.756
43.74,-72.251
44.41,-74.241
45.09,-73.573
45.76,-77.223
46.43,-77.184
47.10,-78.306
47.78,-72.311
48.45,-75.767
49.12,-75.214
49.80,-74.388
50.47,-74.682
51.14,-74.185
51.81,-74.557
52.49,-73.771
53.16,-73.258
53.83,-74.386
54.51,-74.319
55.18,-75.638
55.85,-75.813
56.52,-75.485
57.20,-74.725
57.87,-70.647
58.54,-69.444
59.22,-70.402
59.89,-77.340
60.56,-77.634
61.24,-78.068
61.91,-75.978
62.58,-76.917
63.25,-74.523
63.93,-71.733
64.60,-75.563
65.27,-76.784
65.95,-75.295
66.62,-75.386
67.29,-74.383
67.96,-73.667
68.64,-71.766
69.31,-71.743
69.98,-73.587
70.66,-76.799
71.33,-73.687
72.00,-74.568
72.67,-76.711
73.35,-77.454
74.02,-77.074
74.69,-77.232
75.37,-77.204
76.04,-76.483
76.71,-76.248
77.38,-76.510
78.06,-77.503
78.73,-75.972
79.40,-74.433
80.08,-75.050
80.75,-75.171
81.42,-74.830
82.10,-76.054
82.77,-75.445
83.44,-77.520
84.11,-78.390
84.79,-76.334
85.46,-77.708
86.13,-77.691
86.81,-77.189
87.48,-77.839
88.15,-77.698
88.82,-69.754
