Frequency (Hz),FFT Magnitude (dB)
172.36,-72.559
172.85,-72.347
173.34,-71.230
173.83,-73.942
174.32,-75.183
174.80,-74.727
175.29,-74.638
175.78,-76.358
176.27,-76.194
176.76,-76.432
177.25,-74.549
177.73,-73.605
178.22,-73.225
178.71,-73.143
179.20,-72.608
179.69,-72.931
180.18,-75.250
180.66,-76.071
181.15,-75.523
181.64,-75.528
182.13,-75.669
182.62,-74.941
183.11,-77.267
183.59,-76.976
184.08,-76.066
184.57,-74.196
185.06,-72.615
185.55,-73.588
186.04,-70.970
186.52,-72.995
187.01,-71.156
187.50,-73.383
187.99,-73.547
188.48,-74.863
188.96,-72.685
189.45,-73.532
189.94,-72.860
190.43,-72.094
190.92,-74.372
191.41,-75.620
191.89,-73.502
192.38,-72.681
192.87,-75.184
193.36,-77.039
193.85,-77.657
194.34,-76.052
194.82,-76.878
195.31,-77.353
195.80,-76.870
196.29,-77.281
196.78,-77.339
197.27,-75.181
197.75,-78.072
198.24,-77.692
198.73,-77.885
199.22,-78.033
199.71,-73.715
200.20,-78.193
200.68,-79.412
201.17,-79.368
201.66,-79.835
202.15,-78.136
202.64,-79.174
203.12,-77.579
203.61,-76.212
204.10,-77.161
204.59,-77.535
205.08,-76.576
205.57,-77.354
206.05,-77.538
206.54,-77.200
207.03,-78.025
207.52,-75.676
208.01,-62.102
208.50,-77.381
208.98,-77.431
209.47,-76.396
209.96,-76.420
210.45,-77.476
210.94,-79.353
211.43,-77.175
211.91,-77.827
212.40,-76.784
212.89,-74.744
213.38,-73.971
213.87,-75.702
214.36,-74.874
214.84,-76.598
215.33,-75.808
215.82,-77.321
216.31,-77.749
216.80,-78.169
217.29,-78.558
217.77,-79.921
218.26,-80.040
218.75,-80.370
219.24,-79.986
219.73,-78.963
220.21,-78.384
220.70,-76.472
221.19,-76.896
221.68,-76.437
222.17,-76.703
222.66,-76.401
223.14,-76.825
223.63,-77.396
224.12,-78.519
224.61,-78.826
225.10,-77.281
225.59,-77.900
226.07,-76.856
226.56,-74.891
227.05,-78.886
227.54,-79.608
228.03,-80.166
228.52,-80.045
229.00,-79.803
229.49,-78.518
229.98,-77.312
230.47,-77.752
230.96,-77.327
231.45,-78.731
231.93,-78.698
232.42,-77.450
232.91,-80.797
233.40,-78.577
233.89,-78.195
234.38,-78.475
234.86,-80.392
235.35,-78.413
235.84,-77.431
236.33,-78.495
236.82,-77.572
237.30,-76.046
237.79,-75.319
238.28,-73.008
238.77,-72.467
239.26,-65.174
239.75,-67.183
240.23,-61.791
240.72,-71.547
241.21,-75.310
241.70,-74.038
242.19,-73.633
242.68,-75.088
243.16,-75.288
243.65,-77.331
244.14,-79.417
244.63,-78.407
245.12,-78.407
245.61,-80.020
246.09,-79.396
246.58,-78.801
247.07,-79.411
247.56,-78.681
248.05,-78.916
248.54,-78.566
249.02,-77.658
249.51,-77.006
250.00,-76.253
250.49,-75.978
250.98,-75.300
251.46,-76.469
251.95,-74.832
252.44,-76.123
252.93,-70.581
253.42,-76.284
253.91,-75.520
254.39,-78.012
254.88,-77.580
255.37,-78.551
255.86,-77.826
256.35,-78.597
256.84,-79.619
257.32,-81.059
257.81,-79.719
258.30,-79.742
258.79,-80.446
259.28,-80.572
259.77,-80.946
260.25,-79.698
260.74,-80.533
261.23,-79.590
261.72,-81.133
262.21,-82.397
262.70,-81.251
263.18,-81.879
263.67,-81.366
264.16,-83.107
264.65,-82.321
265.14,-82.703
265.62,-78.629
266.11,-77.718
266.60,-80.305
267.09,-77.108
267.58,-78.492
268.07,-82.761
268.55,-83.157
269.04,-82.791
269.53,-83.427
270.02,-82.277
270.51,-82.223
271.00,-82.263
271.48,-80.675
271.97,-80.551
272.46,-82.751
272.95,-81.423
273.44,-84.660
273.93,-84.697
274.41,-83.767
274.90,-83.262
